month,spi1
1,-0.72
2,1.34
3,1.98
4,1.03
5,-0.33
6,0.13
7,0.23
8,1.02
9,0.57
10,0.12
11,-0.84
12,-1.02
13,-0.45
14,-0.04
15,-0.25
16,0.84
17,-0.04
18,-0.57
19,0.23
20,1.02
21,0.57
22,0.3
23,0.4
24,0.69
25,-0.74
26,0.02
27,-0.69
28,0.68
29,0.67
30,0.1
31,0.23
32,1.02
33,0.57
34,1.35
35,-0.11
36,1.62
37,-0.32
38,1.15
39,0.65
40,1.78
41,2.23
42,0.61
43,0.42
44,1.02
45,2.46
46,2.03
47,0.71
48,1
49,0.57
50,-1.4
51,-1.59
52,-1.12
53,0.13
54,-0.57
55,0.42
56,1.02
57,1.84
58,0.75
59,-0.21
60,0.51
61,1.16
62,-0.77
63,0.25
64,-0.23
65,-1.15
66,0.37
67,0.23
68,1.02
69,0.57
70,0.69
71,0.3
72,1.15
73,-0.9
74,0.02
75,1.01
76,1.14
77,-0.14
78,-0.57
79,0.23
80,2.12
81,0.57
82,2.02
83,0.45
84,0.21
85,-0.86
86,-0.33
87,-0.37
88,-0.45
89,-0.87
90,-0.57
91,0.71
92,1.12
93,0.57
94,0.51
95,1.9
96,0.33
97,0.08
98,-0.21
99,-0.14
100,-1.15
101,1.65
102,-0.57
103,0.23
104,1.02
105,0.95
106,0.37
107,-0.84
108,0.03
109,0.73
110,-0.76
111,-0.07
112,-0.55
113,-1.15
114,-0.15
115,0.23
116,1.02
117,0.57
118,0.9
119,0.31
120,-0.39
121,-1.43
122,-0.42
123,0.33
124,-1.32
125,0.01
126,1.52
127,0.23
128,1.02
129,0.79
130,0.12
131,-0.84
132,-0.54
133,-1.43
134,-0.46
135,0.59
136,1.29
137,-0.98
138,-0.57
139,0.42
140,1.87
141,0.57
142,0.51
143,0.22
144,-1.02
145,0.57
146,-0.16
147,1.33
148,1.54
149,-0.3
150,-0.2
151,0.23
152,1.59
153,0.57
154,0.12
155,0.65
156,-1.02
157,0.96
158,2
159,1.1
160,0.42
161,-1.15
162,-0.32
163,2.44
164,1.02
165,0.57
166,0.12
167,-0.18
168,-0.01
169,-0.5
170,-1.16
171,0.36
172,0.06
173,0.26
174,0.47
175,0.23
176,1.02
177,0.57
178,0.12
179,-0.11
180,-0.05
181,-0.15
182,2.1
183,-0.33
184,1.51
185,0.01
186,0.26
187,2.17
188,1.2
189,0.57
190,0.12
191,-0.84
192,-0.73
193,-0.16
194,0.36
195,0.78
196,0.2
197,0.15
198,-0.2
199,0.23
200,1.02
201,0.57
202,0.12
203,1
204,0.59
205,0.81
206,0.97
207,-1.39
208,-1.82
209,-1.15
210,-0.57
211,0.23
212,1.02
213,0.57
214,1.01
215,-0.84
216,0.81
217,0.34
218,0.62
219,2.09
220,0.83
221,0.37
222,2.75
223,0.71
224,1.02
225,0.57
226,0.25
227,-0.84
228,0.44
229,-0.69
230,-0.12
231,-0.8
232,-0.26
233,1.3
234,-0.32
235,2.76
236,1.02
237,0.57
238,0.12
239,-0.84
240,-0.21
241,-0.82
242,-0.64
243,0.9
244,0.45
245,0.74
246,-0.57
247,0.23
248,1.02
249,1.03
250,0.62
251,0.93
252,-1.02
253,-1.43
254,0.97
255,1.47
256,-0.3
257,0.48
258,-0.57
259,0.23
260,1.02
261,0.57
262,0.12
263,-0.49
264,0.5
265,-0.14
266,-0.7
267,-1.07
268,-1.06
269,-0.78
270,-0.15
271,0.42
272,1.02
273,0.57
274,0.12
275,-0.53
276,0.96
277,0.59
278,-1.82
279,0.71
280,0.9
281,0.15
282,1.39
283,0.42
284,1.02
285,0.57
286,0.12
287,0.45
288,0.1
289,-0.15
290,-0.99
291,0.77
292,-0.3
293,-0.94
294,-0.57
295,0.23
296,1.02
297,0.57
298,0.12
299,2.9
300,-0.52
301,1.77
302,1.64
303,1.77
304,0.19
305,0.44
306,0.28
307,0.23
308,1.02
309,0.57
310,0.83
311,1.24
312,-0.49
313,-0.33
314,-0.03
315,0.1
316,0.46
317,1.1
318,1.22
319,0.23
320,1.02
321,0.57
322,0.12
323,0.17
324,-0.59
325,-0.48
326,-1.36
327,-0.54
328,-1.62
329,0.17
330,-0.57
331,0.23
332,1.02
333,0.57
334,1.08
335,0.9
336,-0.09
337,0.03
338,1.42
339,-0.18
340,-1.77
341,-0.94
342,0.07
343,0.23
344,1.02
345,0.57
346,0.12
347,-0.67
348,0.72
349,0.43
350,-1.14
351,0.45
352,-1.05
353,-0.98
354,-0.57
355,1.12
356,1.02
357,0.57
358,0.12
359,1.72
360,-0.96
361,0.46
362,0.82
363,0.63
364,-0.86
365,0.83
366,-0.15
367,0.23
368,1.02
369,0.57
370,0.12
371,0.89
372,-0.12
373,2
374,-0.71
375,0.38
376,0.8
377,-1.15
378,0.74
379,0.42
380,1.02
381,0.57
382,0.12
383,1.1
384,0.58
385,-0.35
386,-0.38
387,-1.25
388,0.01
389,0.87
390,-0.4
391,0.23
392,1.12
393,0.57
394,0.12
395,-0.67
396,0.27
397,0.21
398,-0.45
399,-1.19
400,-0.8
401,-1.15
402,1.07
403,0.23
404,1.65
405,0.57
406,0.12
407,-0.49
408,-0.04
409,-1.06
410,-1.82
411,0.46
412,-0.29
413,-0.27
414,-0.57
415,0.23
416,1.02
417,0.9
418,0.25
419,0.01
420,-0.17
421,0.76
422,-0.5
423,-0.6
424,-0.51
425,-0.67
426,1.3
427,0.42
428,2.92
429,0.57
430,2.22
431,0.34
432,-0.96
433,-0.66
434,0.36
435,-0.63
436,-0.06
437,-0.45
438,-0.15
439,0.23
440,1.02
441,0.57
442,0.12
443,0.44
444,0.17
445,0.93
446,1.49
447,0.6
448,-1.51
449,-0.81
450,0.54
451,0.42
452,1.02
453,0.57
454,0.46
455,-0.35
456,-0.96
457,-1.4
458,-0.15
459,-1.51
460,0.4
461,-1.03
462,0
463,0.23
464,1.02
465,0.57
466,0.12
467,0.5
468,0.58
469,0.19
470,1.04
471,0.91
472,0.21
473,-1.03
474,1.18
475,0.23
476,1.02
477,0.57
478,0.34
479,-0.84
480,0.84
481,1
482,-1.17
483,-1.48
484,0.91
485,1.49
486,0.15
487,0.23
488,1.02
489,0.57
490,0.12
491,-0.84
492,-0.68
493,0.08
494,0.12
495,-1.59
496,-0.16
497,-1.15
498,-0.57
499,0.51
500,2.3
501,0.57
502,0.25
503,0.66
504,-1.02
505,1.88
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
